Title_ai,Accession_Number,DOI_ai,clean_acc,Title_human,Accession Number,DOI_human
Long-term safety and efficacy of Ultra Rapid Lispro (URLi) in PRONTO-T1D,CN-02229216,10.1007/s00125-020-05221-5,CN-2229216,Long-term safety and efficacy of Ultra Rapid Lispro (URLi) in PRONTO-T1D,CN-02229216,10.1007/s00125-020-05221-5
Efficacy and safety of faster aspart compared with insulin aspart both with insulin degludec in adults with T1D,CN-01631377,,CN-1631377,Efficacy and safety of faster aspart compared with insulin aspart both with insulin degludec in adults with T1D,CN-01631377,
Fast-acting insulin aspart versus insulin aspart in the setting of insulin degludec-treated type 1 diabetes: Efficacy and safety from a randomized double-blind trial,30259644,https://dx.doi.org/10.1111/dom.13545,30259644,Fast-acting insulin aspart versus insulin aspart in the setting of insulin degludec-treated type 1 diabetes: Efficacy and safety from a randomized double-blind trial,30259644,https://dx.doi.org/10.1111/dom.13545
Effect of stratification factors and baseline postprandial glucose on glycaemic control after 26 weeks of Ultra Rapid Lispro (URLi) or Lispro: subgroup analyses of PRONTO-type 1 diabetes,CN-02229334,10.1007/s00125-020-05221-5,CN-2229334,Effect of stratification factors and baseline postprandial glucose on glycaemic control after 26 weeks of Ultra Rapid Lispro (URLi) or Lispro: subgroup analyses of PRONTO-type 1 diabetes,CN-02229334,10.1007/s00125-020-05221-5
Fast-Acting Insulins and Their Post-Meal Effects in Type 1 Diabetes,,,,I8B-MC-ITRM,,
Usefulness and safety of Faster-acting Insuin Aspart is being compared to NovoRapid (Fast acting insulin) both in combination with marketed product Tresiba (Insulin Degludec) in adults with Type-1 diabetes,CN-01818313,,CN-1818313,Usefulness and safety of Faster-acting Insuin Aspart is being compared to NovoRapid (Fast acting insulin) both in combination with marketed product Tresiba (Insulin Degludec) in adults with Type-1 diabetes,CN-01818313,
Comparison of LY900014 to Insulin Lispro in Adults with Type 1 Diabetes,CN-01892848,,CN-1892848,Comparison of LY900014 to Insulin Lispro in Adults with Type 1 Diabetes,CN-01892848,
Ultra rapid lispro (URLi) improves postprandial glucose (PPG) control vs lispro in type 1 diabetes: PRONTO-T1D study,CN-02530810,10.1007/s00125-019-4946-6,CN-2530810,Ultra rapid lispro (URLi) improves postprandial glucose (PPG) control vs lispro in type 1 diabetes: PRONTO-T1D study,CN-02530810,10.1007/s00125-019-4946-6
Hypoglycemia with Mealtime Fast-Acting Insulin Aspart vs. Insulin Aspart Across Two Large Type 1 Diabetes Trials,WOS:000462825100185,10.2337/db18-96-LB,WOS:000462825100185,Hypoglycemia with Mealtime Fast-Acting Insulin Aspart vs. Insulin Aspart Across Two Large Type 1 Diabetes Trials,WOS:000462825100185,10.2337/db18-96-LB
Relative contribution of fasting plasma and postprandial glucose to HbA1c and tir in people with T1D on basal-bolus insulin therapy,CN-02325088,10.2337/db21-107-LB,CN-2325088,Relative contribution of fasting plasma and postprandial glucose to HbA1c and tir in people with T1D on basal-bolus insulin therapy,CN-02325088,10.2337/db21-107-LB
Efficacy and safety of insulin glulisine in patients with type 1 diabetes,16308840,https://dx.doi.org/10.1055/s-2005-870584,16308840,Efficacy and safety of insulin glulisine in patients with type 1 diabetes,16308840,https://dx.doi.org/10.1055/s-2005-870584
Efficacy and Safety of Faster-acting Insulin Aspart compared to NovoRapidÂ® both in combination with Insulin Degludec in Adults with Type 1 Diabetes,CN-01842353,,CN-1842353,Efficacy and Safety of Faster-acting Insulin Aspart compared to NovoRapidÂ® both in combination with Insulin Degludec in Adults with Type 1 Diabetes,CN-01842353,
Combining Glucagon and Insulin Delivery with Glucose Sensing in Fat Tissue of Diabetes Patients,,,,I8B-MC-ITRM,,
Investigation of the resistance exerted by the tissue upon the insulin solution entering the tissue (hydraulic tissue resistance) at the site of administration in diabetes patients,,,,I8B-MC-ITRM,,
Investigation of the resistance of the tissue to the introduction of an insulin solution (tissue hydraulic resistance) and determination of its relationship to the ability of the tissue to absorb the introduced insulin,,,,I8B-MC-ITRM,,
A 28-week trial to determine treatment optimization with once-daily TOUJEO in combination with prandial rapid-acting insulin analogue in patients with type 1 diabetes previously uncontrolled on twice daily basal insulin as part of basal-bolus therapy,,,,I8B-MC-ITRM,,
A study to confirm efficacy and safety of dasiglucagon to rescue treatment of hypoglycemia in subjects with type 1 diabetes mellitus (T1DM) compared to placebo and with reference to GlucaGenÂ®,,,,I8B-MC-ITRM,,
A study in Type I Diabetes Mellitus,,,,I8B-MC-ITRM,,
"A study in people with type 1 diabetes to determine how well a meal-time insulin, LY900014, controls diabetes compared to Humalog (insulin lispro) when both are used along with a long-acting insulin",CN-01885973,,CN-1885973,"A study in people with type 1 diabetes to determine how well a meal-time insulin, LY900014, controls diabetes compared to Humalog (insulin lispro) when both are used along with a long-acting insulin",CN-01885973,
"1,5-anhydroglucitol correlates with postprandial glucose in subjects with type 1 diabetes irrespective of hba1c responder status",CN-01469604,10.1089/dia.2018.2525.abstracts,CN-1469604,"1,5-anhydroglucitol correlates with postprandial glucose in subjects with type 1 diabetes irrespective of hba1c responder status",CN-01469604,10.1089/dia.2018.2525.abstracts
Effect of vitamin D on pancreas and controlling of T1DM,,,,I8B-MC-ITRM,,
Examination of equivalence between biosimilar and original in insulin lispro,,,,I8B-MC-ITRM,,
Comparison of effect characteristics between Rapid-Acting Insulin Analogues in hospitalized patients with type 1 and type 2 diabetes,,,,I8B-MC-ITRM,,
Evaluation of glycemic variability with Insulin Aspart (Fiasp) and Insulin Lispro (Lyumjev) for patients with type 1 diabetes mallitus -Prospective observational study,,,,I8B-MC-ITRM,,
I8B-MC-ITRM,,,,I8B-MC-ITRM,,
Pharmacokinetics and Glucodynamics of LY900014 Compared to Insulin Lispro (Humalog) Following Single Dose Administration in Japanese Patients With Type 1 Diabetes Mellitus,,,,I8B-MC-ITRM,,
Efficacy and safety of insulin glulisine in Japanese patients with type 1 diabetes mellitus,19614947,https://dx.doi.org/10.1111/j.1463-1326.2009.01086.x,19614947,Efficacy and safety of insulin glulisine in Japanese patients with type 1 diabetes mellitus,19614947,https://dx.doi.org/10.1111/j.1463-1326.2009.01086.x
Ultra-rapid lispro (URLi) improves postprandial glucose control vs HumalogÂ® (Lispro) in type 1 diabetes: PRONTO-T1D Study,CN-02119719,10.1002/dmrr.3222,CN-2119719,Ultra-rapid lispro (URLi) improves postprandial glucose control vs HumalogÂ® (Lispro) in type 1 diabetes: PRONTO-T1D Study,CN-02119719,10.1002/dmrr.3222
Ultra rapid lispro improves postprandial glucose control compared with lispro in patients with type 1 diabetes: Results from the 26-week PRONTO-T1D study,32488923,https://dx.doi.org/10.1111/dom.14100,32488923,Ultra rapid lispro improves postprandial glucose control compared with lispro in patients with type 1 diabetes: Results from the 26-week PRONTO-T1D study,32488923,https://dx.doi.org/10.1111/dom.14100
Ultra Rapid Lispro (URLI) Improves Postprandial Glucose (PPG) Control vs. Humalog (Lispro) in T1D: PRONTO-T1D Study,CN-01997422,10.2337/db19-144-OR,CN-1997422,Ultra Rapid Lispro (URLI) Improves Postprandial Glucose (PPG) Control vs. Humalog (Lispro) in T1D: PRONTO-T1D Study,CN-01997422,10.2337/db19-144-OR
Long-term safety and efficacy of ultra-rapid lispro (URLI) in pronto-T1D,CN-02203931,10.2337/db20-232-OR,CN-2203931,Long-term safety and efficacy of ultra-rapid lispro (URLI) in pronto-T1D,CN-02203931,10.2337/db20-232-OR
Efficacy and safety of fast-acting insulin aspart compared with insulin aspart in combination with insulin degludec in Japanese adults with type 1 diabetes: a subgroup analysis of the randomized onset 8 trial,33390422,https://dx.doi.org/10.1507/endocrj.EJ20-0606,33390422,Efficacy and safety of fast-acting insulin aspart compared with insulin aspart in combination with insulin degludec in Japanese adults with type 1 diabetes: a subgroup analysis of the randomized onset 8 trial,33390422,https://dx.doi.org/10.1507/endocrj.EJ20-0606
Improved glycaemic control with carbohydrate counting for adjustment of fast-acting insulin aspart vs insulin aspart in subjects with Type 1 diabetes,CN-01572276,10.1111/dme.6_13570,CN-1572276,Improved glycaemic control with carbohydrate counting for adjustment of fast-acting insulin aspart vs insulin aspart in subjects with Type 1 diabetes,CN-01572276,10.1111/dme.6_13570
"Ultra-rapid lispro improved postprandial glucose control compared to insulin lispro in predominantly Chinese patients with type 1 diabetes: A prospective, randomized, double-blind phase 3 study",37871985,https://dx.doi.org/10.1111/dom.15317,37871985,"Ultra-rapid lispro improved postprandial glucose control compared to insulin lispro in predominantly Chinese patients with type 1 diabetes: A prospective, randomized, double-blind phase 3 study",37871985,https://dx.doi.org/10.1111/dom.15317
Ultra rapid lispro (URLi) improves postprandial glucose control and time in range in type 1 diabetes compared to lispro: PRONTO-T1D continuous glucose monitoring sub-study,CN-02561321,10.1007/s00125-019-4946-6,CN-2561321,Ultra rapid lispro (URLi) improves postprandial glucose control and time in range in type 1 diabetes compared to lispro: PRONTO-T1D continuous glucose monitoring sub-study,CN-02561321,10.1007/s00125-019-4946-6
Ultra-Rapid Lispro Improves Postprandial Glucose Control and Time in Range in Type 1 Diabetes Compared to Lispro: PRONTO-T1D Continuous Glucose Monitoring Substudy,32453647,https://dx.doi.org/10.1089/dia.2020.0129,32453647,Ultra-Rapid Lispro Improves Postprandial Glucose Control and Time in Range in Type 1 Diabetes Compared to Lispro: PRONTO-T1D Continuous Glucose Monitoring Substudy,32453647,https://dx.doi.org/10.1089/dia.2020.0129
Efficacy and safety of fast-acting insulin aspart are maintained over 52 weeks: comparison with insulin aspart in onset 1,CN-01418949,10.1007/s00125-017-4350-z,CN-1418949,Efficacy and safety of fast-acting insulin aspart are maintained over 52 weeks: comparison with insulin aspart in onset 1,CN-01418949,10.1007/s00125-017-4350-z
"Efficacy and safety of fast-acting insulin aspart in comparison with insulin aspart in type 1 diabetes (onset 1): A 52-week, randomized, treat-to-target, phase III trial",29316130,https://dx.doi.org/10.1111/dom.13205,29316130,"Efficacy and safety of fast-acting insulin aspart in comparison with insulin aspart in type 1 diabetes (onset 1): A 52-week, randomized, treat-to-target, phase III trial",29316130,https://dx.doi.org/10.1111/dom.13205
Efficacy and safety of fast-acting insulin aspart are maintained over 52 weeks: comparison with insulin aspart in onset 1,CN-01772042,,CN-1772042,Efficacy and safety of fast-acting insulin aspart are maintained over 52 weeks: comparison with insulin aspart in onset 1,CN-01772042,
Ultra-Rapid Lispro Efficacy and Safety Compared to Humalog<sup> R</sup> in Japanese Patients with Type 1 Diabetes: PRONTO-T1D Subpopulation Analysis,32728832,https://dx.doi.org/10.1007/s13300-020-00892-0,32728832,Ultra-Rapid Lispro Efficacy and Safety Compared to Humalog<sup> R</sup> in Japanese Patients with Type 1 Diabetes: PRONTO-T1D Subpopulation Analysis,32728832,https://dx.doi.org/10.1007/s13300-020-00892-0
Long-term Efficacy and Safety of Ultra Rapid Lispro in Japanese Patients With Type 1 Diabetes: Subpopulation Analysis of the 52-Week PRONTO-T1D Study,34347267,https://dx.doi.org/10.1007/s13300-021-01124-9,34347267,Long-term Efficacy and Safety of Ultra Rapid Lispro in Japanese Patients With Type 1 Diabetes: Subpopulation Analysis of the 52-Week PRONTO-T1D Study,34347267,https://dx.doi.org/10.1007/s13300-021-01124-9
Insulin Glulisine in Type 1 Diabetes Mellitus,CN-01481168,,CN-1481168,Insulin Glulisine in Type 1 Diabetes Mellitus,CN-01481168,
Efficacy and Safety of Faster-acting Insulin Aspart Compared to NovoRapidÂ® Both in Combination With Insulin Degludec in Adults With Type 1 Diabetes,CN-01491036,,CN-1491036,Efficacy and Safety of Faster-acting Insulin Aspart Compared to NovoRapidÂ® Both in Combination With Insulin Degludec in Adults With Type 1 Diabetes,CN-01491036,
Closed-loop Control of Postprandial Glucose Levels in Adults With Type 1 Diabetes,,,,I8B-MC-ITRM,,
Evaluation of Glycemic Changes During Exercise in Children With Type 1 Diabetes,,,,I8B-MC-ITRM,,
A Study of LY900014 Administered in Participants With Type 1 Diabetes Using an Insulin Pump,,,,I8B-MC-ITRM,,
A Study of an Automated Insulin Delivery System in Participants With Type 1 Diabetes Mellitus (T1DM),,,,I8B-MC-ITRM,,
Assessment of Mealtime Bolus Insulin Behavior,,,,I8B-MC-ITRM,,
A Regulatory Post Marketing Surveillance (rPMS) Study of RyzodegÂ® FlexTouchÂ® (Insulin Degludec /Insulin Aspart) to Evaluate Safety and Effectiveness in Patients With Diabetes Mellitus in Routine Clinical Practice in Korea,,,,I8B-MC-ITRM,,
"Study on How FiaspÂ® Can Influence Blood Sugar Levels of type1 Diabetic Patients in Their Daily Lives, With the Help of the Freestyle LibreÂ® Device",,,,I8B-MC-ITRM,,
A Study of an Automated Insulin Delivery System in Adult Participants With Type 1 Diabetes Mellitus (T1D),,,,I8B-MC-ITRM,,
Insulin Fiasp vs. Insulin Novorapid During Pregnancy and Laction in Women With Pre-existing Diabetes,,,,I8B-MC-ITRM,,
A Study of LY900014 Compared to Insulin Lispro (Humalog) in Adults With Type 1 Diabetes,CN-01932741,,CN-1932741,A Study of LY900014 Compared to Insulin Lispro (Humalog) in Adults With Type 1 Diabetes,CN-01932741,
A Study of an Automated Insulin Delivery System in Adult Participants With Type 1 Diabetes Mellitus During Meal Challenges,,,,I8B-MC-ITRM,,
A Study of an Automated Insulin Delivery System in Adult Participants With Type 1 Diabetes Mellitus,,,,I8B-MC-ITRM,,
A Study of an Automated Insulin Delivery System in Adult Participants With Type 1 Diabetes,,,,I8B-MC-ITRM,,
Effect of FiaspÂ® in Type 1 Diabetes Treatment,,,,I8B-MC-ITRM,,
"An Indian Post Marketing Study of Mealtime Insulin, FiaspÂ®, to Evaluate Its Safety and Effectiveness in Patients With Diabetes Mellitus in Routine Clinical Practice",,,,I8B-MC-ITRM,,
"Evaluation of Pharmacokinetics , Safety, Tolerability and Pharmacodynamics of Biocon Insulin Tregopil",,,,I8B-MC-ITRM,,
Faster Aspart on Insulin-pump Treated T1DM Patients,,,,I8B-MC-ITRM,,
A Study of an Insulin Management System in Participants With Type 1 or Type 2 Diabetes,,,,I8B-MC-ITRM,,
The Use of Faster Acting Aspart in Type 1 Diabetes Patients,,,,I8B-MC-ITRM,,
AfrezzaÂ® INHALE-1 Study in Pediatrics,,,,I8B-MC-ITRM,,
A Research Study Looking at How the Use of NovoPenÂ® 6 for Treatment With TresibaÂ® &amp; FiaspÂ® Affects the Blood Sugar Level in Patients With Type 1 Diabetes as Part of Local Clinical Practice,,,,I8B-MC-ITRM,,
Pilot Study Evaluating Safety of ExOlinÂ® in Patients With Poorly Controlled Type 1 Diabetes,,,,I8B-MC-ITRM,,
Evaluation of the MiniMedâ¢ 780G System in Type 1 Adult and Pediatric Subjects Utilizing Insulin FiaspÂ®,,,,I8B-MC-ITRM,,
Evaluation of the Advanced Hybrid Closed Loop (AHCL) System in Type 1 Adults and Pediatrics Utilizing LyumjevÂ®,,,,I8B-MC-ITRM,,
A Study of LY8888AX in Participants Using a Connected Insulin Management Platform,,,,I8B-MC-ITRM,,
INHALE-3: AfrezzaÂ® Combined With Insulin Degludec Versus Usual Care in Adults With Type 1 Diabetes,,,,I8B-MC-ITRM,,
"A Trial to Compare Automated Lyumjev Delivery With Carbohydrate Counting, Qualitative Meal-size Estimation, and Meal Detection in Type 1 Diabetes",,,,I8B-MC-ITRM,,
A Fully Automated Lyumjev and Pramlintide Delivery System for Adults With Type 1 Diabetes,,,,I8B-MC-ITRM,,
Phase 2b Trial Comparing HDV-Insulin Lispro to Insulin Lispro in Adults With Type 1 Diabetes Receiving Insulin Degludec,,,,I8B-MC-ITRM,,
A Study of LY3938577 in Healthy Participants and Participants With Type 1 Diabetes Mellitus (T1DM),,,,I8B-MC-ITRM,,
The influence of food order on postprandial blood glucose levels in children with type 1 diabetes,,,,I8B-MC-ITRM,,
PK of intra-vaginal insulin,,,,I8B-MC-ITRM,,
"An open-label, crossover study to assess the pharmacokinetics, safety and tolerability of pulsatile intra-vaginal delivery of insulin aspart in females with diabetes mellitus type 1",,,,I8B-MC-ITRM,,
"Efficacy and safety of once weekly insulin icodec compared to once daily insulin degludec 100 units/mL, both in combination with insulin aspart, in adults with type 1 diabetes.;A 26-week, randomised, multicentre, open-label, active-controlled, parallel gr",,,,I8B-MC-ITRM,,
Fully Automated glycemic control with ultrarapid insulin in a bihormonal closed loop System in patients with Type 1 diabetes,,,,I8B-MC-ITRM,,
Improved glycaemic control with carbohydrate counting for adjustment of fast-acting insulin aspart versus insulin aspart in subjects with type 1 diabetes,CN-01418943,10.1007/s00125-017-4350-z,CN-1418943,Improved glycaemic control with carbohydrate counting for adjustment of fast-acting insulin aspart versus insulin aspart in subjects with type 1 diabetes,CN-01418943,10.1007/s00125-017-4350-z
Glycaemic control with fast-acting insulin aspart according to dose adjustment method in type 1 diabetes: a post hoc analysis of onset 8,CN-02617676,10.1007/s00125-018-4693-0,CN-2617676,Glycaemic control with fast-acting insulin aspart according to dose adjustment method in type 1 diabetes: a post hoc analysis of onset 8,CN-02617676,10.1007/s00125-018-4693-0
Fasting and postprandial plasma glucose contributions to hemoglobin A1c and time in range in people with diabetes on multiple daily injection insulin therapy: Results from the PRONTO-T1D and PRONTO-T2D clinical trials,38035641,https://dx.doi.org/10.1016/j.jdiacomp.2023.108648,38035641,Fasting and postprandial plasma glucose contributions to hemoglobin A1c and time in range in people with diabetes on multiple daily injection insulin therapy: Results from the PRONTO-T1D and PRONTO-T2D clinical trials,38035641,https://dx.doi.org/10.1016/j.jdiacomp.2023.108648
Double-blind mealtime faster-acting insulin aspart improves glycaemic control with superior reduction in postprandial glucose excursions vs insulin aspart in type 1 diabetes: onsetÂ® 1,CN-01212853,10.1007/s00125-016-4046-9,CN-1212853,Double-blind mealtime faster-acting insulin aspart improves glycaemic control with superior reduction in postprandial glucose excursions vs insulin aspart in type 1 diabetes: onsetÂ® 1,CN-01212853,10.1007/s00125-016-4046-9
Improved glycaemic control and superior reduction of PPG increments with doubleblind mealtime faster-acting insulin aspart vs conventional insulin aspart in T1D: the onset 1 trial,CN-01669228,10.1089/dia.2017.2525.abstracts,CN-1669228,Improved glycaemic control and superior reduction of PPG increments with doubleblind mealtime faster-acting insulin aspart vs conventional insulin aspart in T1D: the onset 1 trial,CN-01669228,10.1089/dia.2017.2525.abstracts
Double-blind mealtime faster-acting insulin aspart vs insulin aspart in basal-bolus improves glycaemic control in Type 1 diabetes: the onset 1 trial,WOS:000395717800011,,WOS:000395717800011,Double-blind mealtime faster-acting insulin aspart vs insulin aspart in basal-bolus improves glycaemic control in Type 1 diabetes: the onset 1 trial,WOS:000395717800011,
Double-Blind Mealtime Faster-Acting Insulin Aspart vs. Insulin Aspart in Basal-Bolus Improves Glycemic Control in T1D: The OnsetÂ® 1 Trial,WOS:000398372800291,,WOS:000398372800291,Double-Blind Mealtime Faster-Acting Insulin Aspart vs. Insulin Aspart in Basal-Bolus Improves Glycemic Control in T1D: The OnsetÂ® 1 Trial,WOS:000398372800291,
"Fast-Acting Insulin Aspart Improves Glycemic Control in Basal-Bolus Treatment for Type 1 Diabetes: Results of a 26-Week Multicenter, Active-Controlled, Treat-to-Target, Randomized, Parallel-Group Trial (onset 1)",28356319,https://dx.doi.org/10.2337/dc16-1771,28356319,"Fast-Acting Insulin Aspart Improves Glycemic Control in Basal-Bolus Treatment for Type 1 Diabetes: Results of a 26-Week Multicenter, Active-Controlled, Treat-to-Target, Randomized, Parallel-Group Trial (onset 1)",28356319,https://dx.doi.org/10.2337/dc16-1771
The impact of baseline BMI and HBA1C on glycaemic control after treatment with mealtime fast-acting insulin aspart in people with type 1 diabetes,CN-01469634,10.1089/dia.2018.2525.abstracts,CN-1469634,The impact of baseline BMI and HBA1C on glycaemic control after treatment with mealtime fast-acting insulin aspart in people with type 1 diabetes,CN-01469634,10.1089/dia.2018.2525.abstracts
The impact of baseline BMI and HBA1C on glycemic control after treatment with mealtime fast-acting insulin aspart in people with type 1 diabetes,CN-01608574,10.1186/s13098-018-0315-8,CN-1608574,The impact of baseline BMI and HBA1C on glycemic control after treatment with mealtime fast-acting insulin aspart in people with type 1 diabetes,CN-01608574,10.1186/s13098-018-0315-8
Projected long-term outcomes in patients with type 1 diabetes treated with fast-acting insulin aspart vs conventional insulin aspart in the UK setting,28573681,https://dx.doi.org/10.1111/dom.13026,28573681,Projected long-term outcomes in patients with type 1 diabetes treated with fast-acting insulin aspart vs conventional insulin aspart in the UK setting,28573681,https://dx.doi.org/10.1111/dom.13026
The impact of baseline BMI and HbA1c on glycemic control after treatment with mealtime fast-acting insulin aspart in people with type 1 diabetes,CN-01739814,,CN-1739814,The impact of baseline BMI and HbA1c on glycemic control after treatment with mealtime fast-acting insulin aspart in people with type 1 diabetes,CN-01739814,
Pre-Meal Insulin Analogue Insulin Lispro vs. HumulinÂ® Insulin Treatment in Young Subjects with Type I Diabetes,CN-02419831,,CN-2419831,Pre-Meal Insulin Analogue Insulin Lispro vs. HumulinÂ® Insulin Treatment in Young Subjects with Type I Diabetes,CN-02419831,
Hypoglycemia with mealtime fast-acting insulin aspart versus insulin aspart across two large type 1 diabetes trials,CN-01915323,10.4103/22308210.245111,CN-1915323,Hypoglycemia with mealtime fast-acting insulin aspart versus insulin aspart across two large type 1 diabetes trials,CN-01915323,10.4103/22308210.245111
Efficacy and safety of fast-acting insulin aspart are maintained over 52 weeks: comparison with insulin aspart in onset 1,CN-01620576,,CN-1620576,Efficacy and safety of fast-acting insulin aspart are maintained over 52 weeks: comparison with insulin aspart in onset 1,CN-01620576,
Efficacy and safety of ultra-rapid lispro compared to insulin lispro in adults with type 1 diabetes,CN-02466663,10.1007/s00125-022-05755-w,CN-2466663,Efficacy and safety of ultra-rapid lispro compared to insulin lispro in adults with type 1 diabetes,CN-02466663,10.1007/s00125-022-05755-w
